Название	Рег_цена	Цена	Бренд	sku	Категория	Дата	Прокси	Ошибка	URL
фонарь налобный светодиодный ФОТОН 3Вт IP54 RSH-700 оранжевый	N/A	N/A	ФОТОН	23129	Главная/Каталог/Освещение/Фонарики/Фонари налобные/фонарь налобный светодиодный ФОТОН 3Вт IP54 RSH-700 оранжевый	02.02.2026	45.152.116.180		https://www.maxidom.ru/catalog/fonari-nalobnye/1001315494/
карниз для ванной 140х260см VERRAN d22/25мм сталь бежевый	N/A	1070	VERRAN	690-19	Главная/Каталог/Сантехника/Аксессуары для ванной комнаты/Карнизы для ванной комнаты/карниз для ванной 140х260см VERRAN d22/25мм сталь бежевый	02.02.2026	45.132.129.247		https://www.maxidom.ru/catalog/karnizy-dlya-vannoy-komnaty/1000866000/
								"SelectorSyntaxError: Malformed attribute selector at position 0
  line 1:
[l1__product-body-buy-price-discount-old span]
^"	https://www.maxidom.ru/catalog/karnizy/1000928888/
								"SelectorSyntaxError: Malformed attribute selector at position 0
  line 1:
[l1__product-body-buy-price-discount-old span]
^"	https://www.maxidom.ru/catalog/skovorody/1001453592/
кружка ATMOSPHERE Geometry 360мл фарфор микс цвета	N/A	269	ATMOSPHERE	6707	Главная/Каталог/Посуда/Посуда для чая и кофе/Кружки/кружка ATMOSPHERE Geometry 360мл фарфор микс цвета	02.02.2026	45.93.15.133		https://www.maxidom.ru/catalog/kruzhki/1001328947/
								"SelectorSyntaxError: Malformed attribute selector at position 0
  line 1:
[l1__product-body-buy-price-discount-old span]
^"	https://www.maxidom.ru/catalog/butylki-dlya-napitkov/1001446293/
карниз АРТ-ДЕКОР струнный потолочный 2-х рядный 350см, арт.К.С.00.02.35.П	N/A	540	No name	К.С.00.02.35.П	Главная/Каталог/Интерьер/Карнизы и комплектующие/Карнизы/карниз АРТ-ДЕКОР струнный потолочный 2-х рядный 350см, арт.К.С.00.02.35.П	02.02.2026	85.142.1.221		https://www.maxidom.ru/catalog/karnizy/1000880176/
простыня на резинке MONA LIZA Classic 140х200см сатин зеленая, арт.505032/04	N/A	1859	MONA LIZA	505032/04	Главная/Каталог/Товары для дома и декора/Постельные принадлежности/Простыни/простыня на резинке MONA LIZA Classic 140х200см сатин зеленая, арт.505032/04	02.02.2026	45.152.116.180		https://www.maxidom.ru/catalog/prostyni/1001224321/
корзина ПОЛИМЕРБЫТ 20х10х5см 0,6л для бытовых нужд пластик в ассортименте без крышки	N/A	19	ПОЛИМЕРБЫТ	с330	Главная/Каталог/Товары для дома и декора/Организация пространства/Контейнеры, корзинки, ящики для хранения/корзина ПОЛИМЕРБЫТ 20х10х5см 0,6л для бытовых нужд пластик в ассортименте без крышки	02.02.2026	176.103.91.98		https://www.maxidom.ru/catalog/konteynery-korzinki-yaschiki-dlya-hraneniya/1000280324/
								"SelectorSyntaxError: Malformed attribute selector at position 0
  line 1:
[l1__product-body-buy-price-discount-old span]
^"	https://www.maxidom.ru/catalog/formy-s-antiprigarnym-pokrytiem/1001449934/
